Year,Month,Exports,Imports,Trade balance
2021,August,"12,508,841,278","14,082,905,524","-1,574,064,246"
2021,September,"12,001,084,700","13,973,729,628","-1,972,644,928"
2021,October,"17,730,965,493","14,810,521,638","2,920,443,855"
2021,November,"18,314,173,912","15,405,176,424","2,908,997,488"
2021,December,"16,354,716,983","14,671,972,938","1,682,744,045"
2022,January,"15,836,810,337","15,785,522,702","51,287,635"
2022,February,"15,639,316,246","14,456,961,741","1,182,354,505"
2022,March,"17,530,374,899","17,825,834,474","-295,459,575"
2022,April,"17,411,426,442","17,610,429,216","-199,002,774"
2022,May,"17,090,640,185","17,807,442,586","-716,802,401"
2022,June,"16,181,706,234","17,247,582,027","-1,065,875,793"
2022,July,"14,860,735,108","15,780,930,873","-920,195,765"
2022,August,"15,515,598,820","16,867,104,424","-1,351,505,604"
2022,September,"13,588,482,456","15,868,021,734","-2,279,539,278"
2022,October,"17,737,353,545","17,107,867,942","629,485,603"
2022,November,"17,524,676,944","16,040,297,470","1,484,379,474"
2022,December,"16,762,487,171","15,845,216,442","917,270,729"
2023,January,"16,823,953,548","17,080,487,653","-256,534,105"
2023,February,"15,358,830,079","15,215,890,047","142,940,032"
2023,March,"15,839,363,533","17,698,580,551","-1,859,217,018"
2023,April,"14,298,098,437","16,267,753,021","-1,969,654,584"
2023,May,"13,971,829,758","16,945,211,371","-2,973,381,613"
2023,June,"12,610,110,507","15,945,129,120","-3,335,018,613"
2023,July,"12,104,061,191","15,747,598,371","-3,643,537,180"
2023,August,"12,507,852,416","16,109,417,328","-3,601,564,912"
2023,September,"12,645,080,391","15,330,208,039","-2,685,127,648"
2023,October,"16,386,748,452","16,874,102,804","-487,354,352"
2023,November,"16,157,176,099","15,993,228,531","163,947,568"
2023,December,"15,469,372,395","15,634,066,269","-164,693,874"
2024,January,"14,899,227,058","17,440,442,044","-2,541,214,986"
2024,February,"15,719,845,317","16,930,121,207","-1,210,275,890"
2024,March,"15,536,237,393","18,386,113,382","-2,849,875,989"
2024,April,"14,439,415,689","18,298,460,028","-3,859,044,339"
2024,May,"13,739,455,193","18,008,713,670","-4,269,258,477"
2024,June,"12,940,637,494","16,522,939,364","-3,582,301,870"
2024,July,"13,002,404,491","17,540,789,790","-4,538,385,299"
2024,August,"13,007,893,695","17,190,495,668","-4,182,601,973"
2024,September,"13,130,006,447","17,387,802,869","-4,257,796,422"
